,barrio,price_usd_per_m2,surface_total_clean,rooms_clean,precios_nuevos,precios_aprox_usd_clean,amenities,estacionamiento,sum,pileta,parrilla,gimnasio,lavadero,solarium,quincho,baulera,terraza,expenses,floor_clean
207,Villa Crespo,1757.142857142857,42.0,1.0,73800.0,73800.0,True,True,True,False,True,False,False,True,False,False,False,,100.0
208,Villa Crespo,1636.3636363636365,44.0,1.0,72000.0,72000.0,True,True,True,False,True,False,False,True,False,False,False,,100.0
210,Belgrano,4210.526315789473,57.0,2.0,240000.0,240000.0,True,True,False,False,True,False,False,False,False,False,True,,100.0
214,Caballito,,49.0,2.0,,,True,False,True,False,True,False,True,False,False,False,False,,100.0
215,Chacarita,2187.5,80.0,,175000.0,175000.0,False,False,False,False,False,False,False,False,False,False,False,,100.0
216,Belgrano,3437.5,160.0,4.0,550000.0,550000.0,True,True,False,False,False,False,True,False,False,True,False,,100.0
217,Caballito,,49.0,2.0,,,True,False,True,False,True,False,True,False,False,False,False,,100.0
218,Villa Crespo,1878.7878787878788,33.0,1.0,62000.0,62000.0,True,True,True,False,True,False,False,True,False,False,False,,100.0
219,Belgrano,3548.3870967741937,310.0,6.0,1100000.0,1100000.0,True,True,False,True,False,True,False,True,False,True,False,,100.0
222,Flores,1523.0769230769229,65.0,3.0,99000.0,99000.0,True,False,False,False,False,False,True,False,False,False,False,,100.0
223,Belgrano,,270.0,5.0,,,True,False,False,True,False,True,False,True,False,False,False,,100.0
225,Nunez,3469.696969696969,66.0,2.0,229000.0,229000.0,True,True,False,False,True,True,False,True,False,False,True,,100.0
226,Nunez,3000.0,45.0,1.0,135000.0,135000.0,True,True,False,False,True,True,False,True,False,False,True,,100.0
227,Recoleta,3246.0732984293195,191.0,5.0,620000.0,620000.0,True,True,False,False,False,False,True,False,False,True,False,,100.0
229,Belgrano,2806.060606060606,33.0,1.0,92600.0,92600.0,True,True,True,True,False,True,True,False,False,False,False,,100.0
230,Caballito,2816.455696202532,158.0,5.0,445000.0,445000.0,True,True,False,True,True,False,False,True,False,True,False,,100.0
231,Almagro,1941.1764705882356,85.0,4.0,165000.0,165000.0,False,False,False,False,False,False,False,False,False,False,False,,100.0
241,Palermo,3776.9230769230767,39.0,1.0,147300.0,147300.0,True,False,True,False,True,False,True,False,False,False,False,,100.0
244,Puerto Madero,5045.871559633028,109.0,4.0,550000.0,550000.0,True,True,True,True,False,True,True,False,False,True,False,,100.0
251,Constitucion,987.7777777777776,90.0,3.0,88900.0,88900.0,True,False,False,False,False,False,True,False,False,False,False,,100.0
252,Puerto Madero,6035.353535353535,198.0,4.0,1195000.0,1195000.0,True,True,False,True,True,True,True,True,False,True,True,,100.0
253,Belgrano,2656.25,128.0,4.0,340000.0,340000.0,True,True,False,False,False,False,True,False,False,False,False,,100.0
254,Mataderos,1892.857142857143,28.0,1.0,53000.0,53000.0,False,False,False,False,False,False,False,False,False,False,False,,100.0
255,Recoleta,3636.363636363637,33.0,1.0,120000.0,120000.0,True,True,True,True,False,False,True,False,False,False,False,,100.0
256,Palermo,2514.285714285714,175.0,4.0,440000.0,440000.0,True,True,False,False,True,False,True,False,False,False,True,,100.0
258,Colegiales,1888.888888888889,126.0,4.0,238000.0,238000.0,True,True,False,False,False,False,True,False,False,False,False,,100.0
259,Villa Urquiza,2106.299212598425,127.0,4.0,267500.0,267500.0,True,True,False,False,False,False,True,False,False,False,False,,100.0
260,Villa Crespo,2541.6666666666665,120.0,4.0,305000.0,305000.0,True,True,False,False,False,False,True,False,False,False,False,,100.0
262,Barrio Norte,2648.648648648649,37.0,3.0,98000.0,98000.0,False,False,False,False,False,False,False,False,False,False,False,,100.0
266,Palermo,2872.340425531915,47.0,2.0,135000.0,135000.0,False,False,False,False,False,False,False,False,False,False,False,1800.0,100.0
270,Saavedra,2500.0,38.0,1.0,95000.0,95000.0,True,False,True,True,True,True,True,True,False,False,True,,100.0
271,Saavedra,2549.295774647888,71.0,3.0,181000.0,181000.0,True,False,True,True,True,True,True,True,False,False,False,,100.0
277,Monserrat,,305.0,,470000.0,470000.0,False,False,False,False,False,False,False,False,False,False,False,,100.0
282,Palermo,,,4.0,770000.0,770000.0,True,True,True,True,True,True,False,False,True,True,True,,100.0
302,Pompeya,,1747.0,7.0,370000.0,370000.0,True,True,False,False,False,False,False,False,False,False,True,,100.0
311,,472.3346828609986,741.0,,350000.0,350000.0,True,False,False,False,True,False,False,False,False,False,False,,100.0
315,,1531.25,160.0,,245000.0,245000.0,True,False,False,True,False,False,True,False,False,True,False,,100.0
316,,3440.0,125.0,,430000.0,430000.0,False,False,False,False,False,False,False,False,False,False,True,,100.0
317,,3440.0,125.0,,430000.0,430000.0,False,False,False,False,False,False,False,False,False,False,True,,100.0
326,,1523.809523809524,1050.0,3.0,1600000.0,1600000.0,True,True,False,True,True,False,True,True,False,True,True,,100.0
340,Parque Chas,,,1.0,105900.0,105900.0,True,True,False,False,True,False,True,True,False,False,False,,100.0
341,Barracas,,,4.0,295000.0,295000.0,True,False,False,False,False,False,True,False,False,False,False,,2.0
351,Paternal,2283.54037037037,27.0,1.0,62305.53456784206,61655.59,True,False,False,False,True,False,True,True,False,False,False,,7.0
352,Paternal,2312.765925925926,27.0,1.0,63102.95019650404,62444.68,True,False,False,False,True,False,True,True,False,False,False,,8.0
353,Paternal,2342.428148148148,27.0,1.0,63912.267550966935,63245.56,True,False,False,False,True,False,True,True,False,False,False,,9.0
354,Paternal,2372.09,27.0,1.0,64721.58490542983,64046.43,True,False,False,False,True,False,True,True,False,False,False,,10.0
355,Paternal,2326.6225,32.0,1.0,75236.75965054701,74451.92,True,False,False,False,True,False,True,True,False,False,False,,7.0
356,Paternal,2356.6184375,32.0,1.0,76206.75030332239,75411.79,True,False,False,False,True,False,True,True,False,False,False,,8.0
357,Paternal,2386.614375,32.0,1.0,77176.74095609778,76371.66,True,False,False,False,True,False,True,True,False,False,False,,9.0
358,Paternal,2296.408148148148,27.0,1.0,62656.63547896935,62003.02,True,False,False,False,True,False,True,True,False,False,False,,6.0
359,Paternal,2326.5066666666667,27.0,1.0,63477.85455923317,62815.68,True,False,False,False,True,False,True,True,False,False,False,,7.0
360,Paternal,2356.604814814815,27.0,1.0,64299.07363949699,63628.33,True,False,False,False,True,False,True,True,False,False,False,,8.0
361,Paternal,2386.484814814815,27.0,1.0,65114.34185686035,64435.09,True,False,False,False,True,False,True,True,False,False,False,,9.0
362,Paternal,2416.582962962963,27.0,1.0,65935.56093712417,65247.74,True,False,False,False,True,False,True,True,False,False,False,,10.0
363,Paternal,2261.472121212121,33.0,1.0,75415.28553756089,74628.58,True,False,False,False,True,False,True,True,False,False,False,,100.0
364,Paternal,2291.2730303030303,33.0,1.0,76409.07964193812,75612.01,True,False,False,False,True,False,True,True,False,False,False,,100.0
365,Paternal,2320.8954545454544,33.0,1.0,77396.9228834149,76589.55,True,False,False,False,True,False,True,True,False,False,False,,8.0
366,Paternal,2356.565714285714,28.0,1.0,66679.41879968198,65983.84,True,False,False,False,True,False,True,True,False,False,False,,8.0
367,Paternal,2386.6407142857142,28.0,1.0,67530.39219444811,66825.94,True,False,False,False,True,False,True,True,False,False,False,,9.0
368,Paternal,2416.715714285714,28.0,1.0,68381.36558921424,67668.04,True,False,False,False,True,False,True,True,False,False,False,,10.0
370,Recoleta,4212.121212121212,33.0,,139000.0,139000.0,True,False,True,False,True,False,True,False,False,False,False,,100.0
378,Caballito,,,1.0,70500.0,70500.0,True,True,False,False,True,False,False,True,False,False,True,,100.0
379,Caballito,2303.5714285714284,28.0,1.0,64500.0,64500.0,False,False,False,False,False,False,False,False,False,False,False,,100.0
381,Puerto Madero,6481.481481481482,54.0,2.0,350000.0,350000.0,True,True,False,True,False,False,False,False,False,False,False,,100.0
382,Agronomia,2500.0,56.0,2.0,140000.0,140000.0,True,True,True,True,True,False,True,True,False,True,True,,100.0
383,Villa Pueyrredon,1706.896551724138,116.0,3.0,198000.0,198000.0,True,False,False,False,False,False,True,False,False,False,True,,100.0
384,Caballito,2166.6666666666665,42.0,1.0,91000.0,91000.0,True,True,True,False,True,False,False,True,False,False,False,,100.0
385,Coghlan,2461.538461538461,39.0,1.0,96000.0,96000.0,True,True,True,False,False,True,False,True,False,False,True,,100.0
386,Palermo,2557.142857142857,70.0,3.0,179000.0,179000.0,True,False,False,False,False,False,False,False,False,False,True,,100.0
388,Almagro,2727.2727272727275,77.0,4.0,210000.0,210000.0,True,True,False,False,False,False,True,False,False,True,False,,100.0
389,Caballito,1775.0,200.0,5.0,355000.0,355000.0,True,True,False,False,False,False,False,False,False,True,False,,100.0
390,Parque Centenario,1775.0,200.0,5.0,355000.0,355000.0,True,True,False,False,False,False,False,False,False,True,False,,100.0
400,Puerto Madero,6481.481481481482,54.0,2.0,350000.0,350000.0,True,True,False,True,False,False,False,False,False,False,False,,100.0
401,Puerto Madero,6111.11111111111,54.0,2.0,330000.0,330000.0,True,True,False,True,False,False,False,False,False,False,False,,100.0
403,San Telmo,2642.829268292683,41.0,1.0,108356.0,108356.0,True,True,False,True,True,True,False,False,False,False,True,,100.0
405,Almagro,2142.8571428571427,56.0,3.0,120000.0,120000.0,False,False,False,False,False,False,False,False,False,False,False,,100.0
411,Monserrat,2000.0,60.0,2.0,120000.0,120000.0,False,False,False,False,False,False,False,False,False,False,False,,100.0
412,Recoleta,2936.170212765957,235.0,5.0,690000.0,690000.0,True,True,False,False,False,False,True,False,False,False,False,,100.0
414,Palermo,,379.0,,,,True,True,False,False,False,False,False,False,False,False,True,,100.0
419,Floresta,1400.0,200.0,3.0,280000.0,280000.0,True,True,False,False,True,False,True,False,True,False,True,,100.0
420,Belgrano,3466.666666666666,150.0,3.0,520000.0,520000.0,True,True,True,True,True,False,True,False,True,True,True,,100.0
422,Recoleta,2700.0,140.0,4.0,378000.0,378000.0,True,True,False,False,False,False,True,False,False,True,False,,100.0
429,Villa Luro,,,2.0,130000.0,130000.0,True,False,False,False,False,False,False,False,False,False,True,,100.0
434,Flores,,,1.0,72000.0,72000.0,False,False,False,False,False,False,False,False,False,False,False,,100.0
435,Flores,1000.0,120.0,2.0,120000.0,120000.0,True,False,False,False,False,False,False,False,False,False,True,,100.0
443,Palermo,,,5.0,379900.0,379900.0,True,True,False,False,False,False,True,False,False,True,False,,2.0
444,Palermo,,,2.0,95000.0,95000.0,False,False,False,False,False,False,False,False,False,False,False,,100.0
450,Belgrano,,,2.0,117000.0,117000.0,True,False,True,False,True,False,False,False,False,False,True,,100.0
476,Villa Urquiza,,,3.0,230000.0,230000.0,True,True,False,False,False,False,True,False,False,False,False,,2.0
488,Villa Devoto,,,2.0,142000.0,142000.0,True,True,True,False,False,False,True,False,False,False,True,,2.0
491,Barrio Norte,,122.0,,250000.0,250000.0,True,True,True,False,True,False,True,False,False,False,True,,1.0
496,Boca,1686.7469879518071,83.0,3.0,140000.0,140000.0,False,False,False,False,False,False,False,False,False,False,False,,100.0
503,,1531.25,160.0,,245000.0,245000.0,True,False,False,True,False,False,True,False,False,True,False,,100.0
506,,,230.0,,430000.0,430000.0,True,False,False,False,False,False,True,False,False,False,True,,100.0
507,,703.7037037037038,297.0,,209000.0,209000.0,True,False,False,True,False,False,True,False,False,False,False,,100.0
514,,621.5722120658136,547.0,,340000.0,340000.0,False,False,False,False,False,False,False,False,False,False,False,,100.0
518,,476.19047619047615,1050.0,,500000.0,500000.0,True,False,False,True,True,False,True,False,False,False,False,,100.0
